age_band,ihr,ihr_lower,ihr_upper,ifr,ifr_lower,ifr_upper
0-4,0.0023,0.0018,0.0029,0.00009,0.00006,0.00014
5-9,0.0025,0.0020,0.0032,0.00010,0.00007,0.00015
10-14,0.00077,0.00061,0.00097,0.00003,0.00002,0.00005
15-19,0.00033,0.00026,0.00041,0.00001,0.00001,0.00002
20-24,0.00057,0.00045,0.00072,0.00002,0.00002,0.00004
25-29,0.0029,0.0023,0.0037,0.00013,0.00009,0.00019
30-34,0.0040,0.0031,0.0050,0.00020,0.00014,0.00028
35-39,0.0057,0.0045,0.0072,0.00031,0.00022,0.00043
40-44,0.0092,0.0072,0.012,0.00057,0.00040,0.00078
45-49,0.014,0.011,0.018,0.00106,0.00076,0.00145
50-54,0.018,0.014,0.023,0.00165,0.00118,0.00222
55-59,0.029,0.023,0.037,0.00331,0.00242,0.00441
60-64,0.067,0.053,0.085,0.00939,0.00693,0.01247
65-69,0.079,0.062,0.099,0.01344,0.00996,0.01759
70-74,0.17,0.13,0.21,0.03359,0.02524,0.04396
75-79,0.30,0.23,0.37,0.06761,0.05047,0.08841
80+,0.30,0.24,0.38,0.07622,0.05722,0.10024
care_home,0.19,0.048,0.35,0.23133,0.14434,0.35381
