Ageband,imd_1,imd_2,imd_3,imd_4,imd_5,imd_6,imd_7,imd_8,imd_9,imd_10
Under 1,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
1 to 4,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
5 to 9,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
10 to 14,0.221313791454554,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
15 to 19,0.270592127944623,0.256921785357971,0.24739928856972,0.240159390207873,0.234133206104251,0.228432072883944,0.219128899564621,0.213663391578975,0.21,0.21
20 to 24,0.334454108629879,0.301239291657335,0.287140910502274,0.27815963736257,0.27012807209785,0.262324213273542,0.255038549755937,0.249481921677627,0.244884729381894,0.240091005382072
25 to 29,0.364825689091452,0.317242208282559,0.292813361733871,0.281521186098151,0.271652490278482,0.262949342652239,0.257430782102908,0.250309823886961,0.247359092596164,0.241254050037069
30 to 34,0.397385911423579,0.342510261849616,0.314589754613143,0.297816827272434,0.285867979252618,0.274383931417443,0.266711959649071,0.258835532708759,0.251694488943043,0.241111394261916
35 to 39,0.451823963957898,0.389526256984223,0.356392909371126,0.336096492039501,0.317063390639648,0.303254548251121,0.287641251619793,0.277535278638563,0.262130680811115,0.246189185265201
40 to 44,0.527333264753361,0.454242146790393,0.41447131086741,0.384970298063781,0.360346165284557,0.337822829849396,0.319279751557101,0.302544825137738,0.284492479996126,0.259816786023043
45 to 49,0.615267191287464,0.544247347307262,0.489799271928401,0.449164604954108,0.417768522955806,0.387515400644868,0.363559179854364,0.340665667214766,0.318729184237561,0.2874518139822
50 to 54,0.663610722617518,0.612327009361925,0.561836234014275,0.513553077274451,0.472635950960834,0.437870112745055,0.407421507072377,0.384340966328206,0.357794063453606,0.322869277313775
55 to 59,0.689384045759049,0.657726689577702,0.620116441425678,0.57472047140304,0.525420950547887,0.486078996934699,0.45185315631716,0.425983863351358,0.400679678890286,0.357951517864116
60 to 64,0.69,0.688162303740916,0.66682102947124,0.630530454933116,0.590320199173261,0.549101887339901,0.512569204201876,0.483695307958288,0.45393945655953,0.406952946066694
65 to 69,0.69,0.69,0.68390176611615106,0.65821991528774,0.625212563498739,0.595557308589223,0.565313009295116,0.541050944800829,0.505785018517631,0.455547572821374
70 to 74,0.69,0.69,0.69,0.678600357757994,0.657972486000877,0.638270384757661,0.61877135732945,0.601450038712824,0.577597173930845,0.529814401100087
75+,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.688972059682453
