lad_code,lad_name,n_lsoa,mean_imd_score,median_imd_score,mean_lsoa_imd_decile,lad_imd_rank,lad_imd_decile
E06000009,Blackpool,94,45.90763829787234,38.9695,2.414893617021277,1,1
E08000011,Knowsley,98,43.5624387755102,41.180499999999995,2.561224489795918,2,1
E08000012,Liverpool,298,42.517922818791945,43.0965,2.751677852348994,3,1
E06000002,Middlesbrough,86,40.44311627906977,42.900999999999996,3.383720930232559,4,1
E06000010,"Kingston upon Hull, City of",166,40.33506626506024,38.915499999999994,2.951807228915663,5,1
E08000003,Manchester,282,39.9870390070922,40.0245,2.542553191489362,6,1
E08000025,Birmingham,639,37.608262910798125,38.311,2.8904538341158053,7,1
E07000117,Burnley,60,37.30198333333333,35.695,3.2166666666666663,8,1
E06000008,Blackburn with Darwen,91,35.81362637362637,37.288,3.318681318681319,9,1
E06000018,Nottingham,182,35.73131318681319,37.0895,2.9615384615384626,10,1
E08000028,Sandwell,186,34.87560752688172,34.9745,2.811827956989247,11,1
E06000001,Hartlepool,58,34.85312068965517,34.2235,3.6896551724137927,12,1
E07000062,Hastings,53,34.58694339622642,29.25,3.226415094339623,13,1
E06000021,Stoke-on-Trent,159,34.04472327044025,34.489,3.3710691823899364,14,1
E08000006,Salford,150,33.998,31.0815,3.533333333333334,15,1
E08000032,Bradford,310,33.88911935483871,32.0865,3.629032258064517,16,1
E07000120,Hyndburn,52,33.82386538461538,31.2105,3.519230769230769,17,1
E08000005,Rochdale,134,33.30633582089553,30.694000000000003,3.5447761194029845,18,1
E09000002,Barking and Dagenham,110,32.883472727272725,33.7,2.6818181818181817,19,1
E06000006,Halton,79,32.8756835443038,32.048,3.7974683544303804,20,1
E09000012,Hackney,144,32.86820138888889,32.1245,2.7430555555555554,21,1
E07000145,Great Yarmouth,61,32.357245901639345,27.43,3.6721311475409832,22,1
E08000004,Oldham,141,32.287078014184395,30.48,3.8439716312056738,23,1
E06000012,North East Lincolnshire,106,32.04679245283019,26.773,4.2924528301886795,24,1
E07000027,Barrow-in-Furness,49,31.564163265306124,26.755,4.061224489795919,25,1
E08000023,South Tyneside,102,31.538480392156863,30.9645,3.6470588235294117,26,1
E08000031,Wolverhampton,158,31.516037974683545,33.053,3.5379746835443027,27,1
E08000013,St. Helens,119,31.513142857142856,27.301,3.957983193277311,28,1
E06000016,Leicester,192,30.894651041666666,28.238,3.5833333333333326,29,1
E08000008,Tameside,141,30.816893617021275,28.308,3.638297872340426,30,1
E08000030,Walsall,167,30.708137724550898,32.755,3.832335329341317,31,1
E08000024,Sunderland,185,30.635486486486485,28.489,3.827027027027026,32,2
E07000114,Thanet,84,30.315440476190474,25.025,3.964285714285714,33,2
E07000122,Pendle,57,30.23942105263158,26.709,3.807017543859649,34,2
E08000001,Bolton,177,30.147468926553675,29.677,4.209039548022596,35,2
E08000017,Doncaster,194,30.098355670103093,28.246000000000002,3.9536082474226815,36,2
E08000016,Barnsley,147,30.060891156462585,28.362,3.8231292517006805,37,2
E07000076,Tendring,89,30.03685393258427,24.916,3.8426966292134823,38,2
E08000021,Newcastle upon Tyne,175,29.84830285714286,24.849,4.525714285714285,39,2
E06000003,Redcar and Cleveland,88,29.841329545454546,23.116,4.340909090909092,40,2
E09000025,Newham,164,29.771079268292684,29.2025,3.091463414634146,41,2
E07000137,East Lindsey,81,29.65964197530864,26.967,3.8395061728395063,42,2
E08000015,Wirral,206,29.433213592233013,22.03,4.635922330097086,43,2
E08000018,Rotherham,167,29.347473053892216,25.737,4.1497005988023945,44,2
E07000123,Preston,86,28.928255813953488,29.8265,4.16279069767442,45,2
E07000174,Mansfield,67,28.431044776119403,28.457,4.164179104477612,46,2
E07000148,Norwich,83,28.08330120481928,26.494,4.156626506024097,47,2
E08000037,Gateshead,126,28.03184126984127,27.1035,4.253968253968255,48,2
E09000030,Tower Hamlets,144,27.970458333333333,28.7085,3.680555555555555,49,2
E06000027,Torbay,89,27.75514606741573,25.893,4.134831460674158,50,2
E09000019,Islington,123,27.706040650406504,27.776,3.6422764227642275,51,2
E06000031,Peterborough,112,27.605464285714284,26.060499999999998,4.2232142857142865,52,2
E09000014,Haringey,145,27.5872,26.984,3.903448275862069,53,2
E06000047,County Durham,324,27.434944444444444,26.0435,4.262345679012347,54,2
E07000138,Lincoln,57,27.388859649122807,24.583,4.333333333333334,55,2
E07000113,Swale,85,27.344635294117648,21.836,4.411764705882352,56,2
E08000014,Sefton,189,27.28136507936508,19.993,4.761904761904761,57,2
E06000045,Southampton,148,27.261945945945946,25.086,4.114864864864865,58,2
