lad_code,lad_name,stp_code,stp_name,itl3_code,itl3_name,itl2_code,itl2_name,itl1_code,itl1_name,n_lsoa,mean_imd_score,median_imd_score,mean_lsoa_imd_decile,lad_imd_rank,lad_imd_decile
E06000001,Hartlepool,E54000050,Cumbria and North East,TLC11,Hartlepool and Stockton-on-Tees,TLC1,Tees Valley and Durham,TLC,North East (England),58,34.85312068965517,34.2235,3.6896551724137927,12,1
E06000002,Middlesbrough,E54000050,Cumbria and North East,TLC12,South Teesside,TLC1,Tees Valley and Durham,TLC,North East (England),86,40.44311627906977,42.900999999999996,3.383720930232559,4,1
E06000003,Redcar and Cleveland,E54000050,Cumbria and North East,TLC12,South Teesside,TLC1,Tees Valley and Durham,TLC,North East (England),88,29.841329545454546,23.116,4.340909090909092,40,2
E06000004,Stockton-on-Tees,E54000050,Cumbria and North East,TLC11,Hartlepool and Stockton-on-Tees,TLC1,Tees Valley and Durham,TLC,North East (England),120,25.244108333333333,18.3065,5.208333333333334,79,3
E06000005,Darlington,E54000050,Cumbria and North East,TLC13,Darlington,TLC1,Tees Valley and Durham,TLC,North East (England),65,26.787,22.238,4.815384615384615,64,3
E06000006,Halton,E54000008,Cheshire and Merseyside,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England),79,32.8756835443038,32.048,3.7974683544303804,20,1
E06000007,Warrington,E54000008,Cheshire and Merseyside,TLD61,Warrington,TLD6,Cheshire,TLD,North West (England),127,18.95548031496063,13.117,6.165354330708662,148,5
E06000008,Blackburn with Darwen,E54000048,Healthier Lancashire and South Cumbria,TLD41,Blackburn with Darwen,TLD4,Lancashire,TLD,North West (England),91,35.81362637362637,37.288,3.318681318681319,9,1
E06000009,Blackpool,E54000048,Healthier Lancashire and South Cumbria,TLD42,Blackpool,TLD4,Lancashire,TLD,North West (England),94,45.90763829787234,38.9695,2.414893617021277,1,1
E06000010,"Kingston upon Hull, City of",E54000051,"Humber, Coast and Vale",TLE11,"Kingston upon Hull, City of",TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,166,40.33506626506024,38.915499999999994,2.951807228915663,5,1
E06000011,East Riding of Yorkshire,E54000051,"Humber, Coast and Vale",TLE12,East Riding of Yorkshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,210,15.798033333333333,12.450500000000002,6.757142857142857,194,7
E06000012,North East Lincolnshire,E54000051,"Humber, Coast and Vale",TLE13,North and North East Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,106,32.04679245283019,26.773,4.2924528301886795,24,1
E06000013,North Lincolnshire,E54000051,"Humber, Coast and Vale",TLE13,North and North East Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber,101,21.929435643564357,18.005,5.326732673267327,114,4
E06000014,York,E54000051,"Humber, Coast and Vale",TLE21,York,TLE2,North Yorkshire,TLE,Yorkshire and The Humber,120,11.942108333333334,8.3885,7.6416666666666675,258,9
