epiweek,lad_imd_decile,obs_admissions
2020-07-27,1,17
2020-08-03,1,81
2020-08-10,1,52
2020-08-17,1,63
2020-08-24,1,71
2020-08-31,1,124
2020-09-07,1,224
2020-09-14,1,353
2020-09-21,1,493
2020-09-28,1,726
2020-10-05,1,1024
2020-10-12,1,1336
2020-10-19,1,1625
2020-10-26,1,1997
2020-11-02,1,1949
2020-11-09,1,2285
2020-11-16,1,2051
2020-11-23,1,1605
2020-11-30,1,1505
2020-12-07,1,1715
2020-12-14,1,1862
2020-12-21,1,2073
2020-12-28,1,2707
2021-01-04,1,3757
2021-01-11,1,4171
2021-01-18,1,3746
2021-01-25,1,2855
2021-02-01,1,2384
2021-02-08,1,1825
2021-02-15,1,1475
2021-02-22,1,1093
2021-03-01,1,793
2021-03-08,1,591
2021-03-15,1,463
2021-03-22,1,406
2021-03-29,1,305
2021-04-05,1,253
2021-04-12,1,162
2021-04-19,1,141
2021-04-26,1,141
2021-05-03,1,114
2021-05-10,1,93
2021-05-17,1,140
2021-05-24,1,114
2021-05-31,1,165
2021-06-07,1,267
2021-06-14,1,334
2021-06-21,1,357
2021-06-28,1,546
2021-07-05,1,771
2021-07-12,1,994
2021-07-19,1,1117
2021-07-26,1,995
2021-08-02,1,958
2021-08-09,1,1041
2021-08-16,1,1073
2021-08-23,1,960
2021-08-30,1,994
2021-09-06,1,968
2021-09-13,1,800
2021-09-20,1,714
2021-09-27,1,746
2021-10-04,1,755
2021-10-11,1,893
2021-10-18,1,992
2021-10-25,1,983
2021-11-01,1,867
2021-11-08,1,873
2021-11-15,1,736
2021-11-22,1,699
2021-11-29,1,697
2021-12-06,1,746
2021-12-13,1,828
2021-12-20,1,1315
2021-12-27,1,2290
2022-01-03,1,2635
2022-01-10,1,2479
2022-01-17,1,2035
2022-01-24,1,1781
2022-01-31,1,1500
2022-02-07,1,1144
2022-02-14,1,1011
2022-02-21,1,992
2022-02-28,1,694
2020-07-27,2,6
2020-08-03,2,39
