age_band,lad_imd_decile,itl1_name,population
0-4,1,East,5186
0-4,1,East Midlands (England),43397
0-4,1,London,38618
0-4,1,North East (England),22708
0-4,1,North West (England),188126
0-4,1,South East (England),5171
0-4,1,West Midlands (England),155580
0-4,1,Yorkshire and The Humber,63402
0-4,2,East,29188
0-4,2,East Midlands (England),17530
0-4,2,London,100032
0-4,2,North East (England),73539
0-4,2,North West (England),65128
0-4,2,South East (England),31751
0-4,2,South West (England),6414
0-4,2,Yorkshire and The Humber,148691
0-4,3,East,39138
0-4,3,East Midlands (England),32357
0-4,3,London,126810
0-4,3,North East (England),16769
0-4,3,North West (England),32431
0-4,3,South East (England),35230
0-4,3,South West (England),68790
0-4,3,West Midlands (England),33184
0-4,3,Yorkshire and The Humber,42606
0-4,4,East,33693
0-4,4,East Midlands (England),10298
0-4,4,London,89544
0-4,4,North East (England),25762
0-4,4,North West (England),26287
0-4,4,South East (England),35557
0-4,4,South West (England),16931
0-4,4,West Midlands (England),42278
0-4,4,Yorkshire and The Humber,8785
0-4,5,East,48440
0-4,5,East Midlands (England),37382
0-4,5,London,27808
0-4,5,North West (England),33671
0-4,5,South East (England),70752
0-4,5,South West (England),25975
0-4,5,West Midlands (England),31782
0-4,6,East,21732
0-4,6,East Midlands (England),41095
0-4,6,London,82058
0-4,6,North West (England),26367
0-4,6,South East (England),52676
0-4,6,South West (England),50468
0-4,6,West Midlands (England),33339
0-4,7,East,44974
0-4,7,East Midlands (England),27436
0-4,7,London,74455
0-4,7,North West (England),22951
0-4,7,South East (England),26601
0-4,7,South West (England),38737
0-4,7,West Midlands (England),10456
0-4,7,Yorkshire and The Humber,17474
0-4,8,East,47975
0-4,8,East Midlands (England),27801
0-4,8,London,33974
0-4,8,North West (England),20193
0-4,8,South East (England),45464
0-4,8,South West (England),36160
0-4,8,West Midlands (England),23552
0-4,8,Yorkshire and The Humber,9863
0-4,9,East,50677
0-4,9,East Midlands (England),14026
0-4,9,London,10700
0-4,9,North West (England),6650
0-4,9,South East (England),44819
0-4,9,South West (England),41057
0-4,9,West Midlands (England),19086
0-4,9,Yorkshire and The Humber,20696
0-4,10,East,41534
0-4,10,East Midlands (England),12312
0-4,10,London,11800
0-4,10,South East (England),163568
5-9,1,East,5630
5-9,1,East Midlands (England),45538
5-9,1,London,37631
5-9,1,North East (England),24342
5-9,1,North West (England),194657
5-9,1,South East (England),5635
5-9,1,West Midlands (England),164066
5-9,1,Yorkshire and The Humber,68476
5-9,2,East,32295
5-9,2,East Midlands (England),19394
5-9,2,London,98300
5-9,2,North East (England),83071
5-9,2,North West (England),71622
5-9,2,South East (England),34483
5-9,2,South West (England),7616
5-9,2,Yorkshire and The Humber,157579
5-9,3,East,41639
5-9,3,East Midlands (England),36020
5-9,3,London,126171
5-9,3,North East (England),19430
5-9,3,North West (England),36467
5-9,3,South East (England),38325
5-9,3,South West (England),76493
5-9,3,West Midlands (England),36637
5-9,3,Yorkshire and The Humber,48336
5-9,4,East,36040
5-9,4,East Midlands (England),11813
5-9,4,London,91415
5-9,4,North East (England),28534
5-9,4,North West (England),29692
5-9,4,South East (England),40130
5-9,4,South West (England),19632
5-9,4,West Midlands (England),45652
5-9,4,Yorkshire and The Humber,10191
5-9,5,East,52995
5-9,5,East Midlands (England),43081
5-9,5,London,31931
5-9,5,North West (England),38244
5-9,5,South East (England),76534
5-9,5,South West (England),29664
5-9,5,West Midlands (England),35545
5-9,6,East,23795
5-9,6,East Midlands (England),45428
5-9,6,London,81313
5-9,6,North West (England),30145
5-9,6,South East (England),60286
5-9,6,South West (England),57739
5-9,6,West Midlands (England),38636
5-9,7,East,47534
5-9,7,East Midlands (England),30803
5-9,7,London,76873
5-9,7,North West (England),27142
5-9,7,South East (England),27959
5-9,7,South West (England),45879
5-9,7,West Midlands (England),12329
5-9,7,Yorkshire and The Humber,21017
5-9,8,East,53612
5-9,8,East Midlands (England),32232
5-9,8,London,36847
5-9,8,North West (England),22331
5-9,8,South East (England),53458
5-9,8,South West (England),43001
5-9,8,West Midlands (England),26203
5-9,8,Yorkshire and The Humber,11189
5-9,9,East,56523
5-9,9,East Midlands (England),16484
5-9,9,London,12116
5-9,9,North West (England),7968
5-9,9,South East (England),50508
5-9,9,South West (England),45876
5-9,9,West Midlands (England),21149
5-9,9,Yorkshire and The Humber,24453
5-9,10,East,47740
5-9,10,East Midlands (England),14592
5-9,10,London,13736
5-9,10,South East (England),191616
10-14,1,East,5771
10-14,1,East Midlands (England),41824
10-14,1,London,34107
10-14,1,North East (England),23607
10-14,1,North West (England),182555
10-14,1,South East (England),5367
10-14,1,West Midlands (England),154939
10-14,1,Yorkshire and The Humber,66766
10-14,2,East,29123
10-14,2,East Midlands (England),18559
10-14,2,London,86119
10-14,2,North East (England),81548
10-14,2,North West (England),69919
10-14,2,South East (England),32634
10-14,2,South West (England),7282
10-14,2,Yorkshire and The Humber,152182
10-14,3,East,37654
10-14,3,East Midlands (England),35160
10-14,3,London,112965
10-14,3,North East (England),19706
10-14,3,North West (England),36628
10-14,3,South East (England),36983
10-14,3,South West (England),72308
10-14,3,West Midlands (England),34628
10-14,3,Yorkshire and The Humber,47605
10-14,4,East,34133
10-14,4,East Midlands (England),10770
10-14,4,London,84196
10-14,4,North East (England),29742
10-14,4,North West (England),30083
10-14,4,South East (England),39478
10-14,4,South West (England),18851
10-14,4,West Midlands (England),44511
10-14,4,Yorkshire and The Humber,10874
10-14,5,East,51734
10-14,5,East Midlands (England),42553
10-14,5,London,29126
10-14,5,North West (England),37501
10-14,5,South East (England),75081
10-14,5,South West (England),28386
10-14,5,West Midlands (England),35553
10-14,6,East,22835
10-14,6,East Midlands (England),44235
10-14,6,London,72727
10-14,6,North West (England),29576
10-14,6,South East (England),58774
10-14,6,South West (England),58333
