lsoa_code,urban_rural
E01000001,Urban
E01000002,Urban
E01000003,Urban
E01000005,Urban
E01000006,Urban
E01000007,Urban
E01000008,Urban
E01000009,Urban
E01000010,Urban
E01000011,Urban
E01000012,Urban
E01000013,Urban
E01000014,Urban
E01000015,Urban
E01000016,Urban
E01000017,Urban
E01000018,Urban
E01000019,Urban
E01000020,Urban
E01000021,Urban
E01000022,Urban
E01000023,Urban
E01000024,Urban
E01000025,Urban
E01000027,Urban
E01000028,Urban
E01000029,Urban
E01000030,Urban
E01000031,Urban
E01000032,Urban
E01000033,Urban
E01000034,Urban
E01000035,Urban
E01000036,Urban
E01000037,Urban
E01000038,Urban
E01000039,Urban
E01000040,Urban
E01000041,Urban
E01000042,Urban
E01000043,Urban
E01000044,Urban
E01000045,Urban
E01000046,Urban
E01000048,Urban
E01000049,Urban
E01000050,Urban
E01000051,Urban
E01000052,Urban
E01000053,Urban
E01000054,Urban
E01000055,Urban
E01000056,Urban
E01000057,Urban
E01000058,Urban
E01000059,Urban
E01000060,Urban
E01000061,Urban
E01000062,Urban
E01000063,Urban
E01000064,Urban
E01000065,Urban
E01000066,Urban
E01000067,Urban
E01000068,Urban
E01000069,Urban
E01000070,Urban
E01000071,Urban
E01000072,Urban
E01000073,Urban
E01000074,Urban
E01000075,Urban
E01000076,Urban
E01000077,Urban
E01000078,Urban
E01000079,Urban
E01000080,Urban
E01000081,Urban
E01000082,Urban
E01000083,Urban
E01000084,Urban
E01000085,Urban
E01000086,Urban
E01000087,Urban
E01000088,Urban
E01000089,Urban
E01000090,Urban
E01000091,Urban
E01000092,Urban
E01000093,Urban
E01000094,Urban
E01000095,Urban
E01000096,Urban
E01000097,Urban
E01000098,Urban
E01000099,Urban
E01000100,Urban
E01000101,Urban
E01000102,Urban
E01000103,Urban
E01000104,Urban
E01000105,Urban
E01000106,Urban
E01000107,Urban
E01000108,Urban
E01000109,Urban
E01000110,Urban
E01000111,Urban
E01000112,Urban
E01000113,Urban
E01000114,Urban
E01000115,Urban
E01000116,Urban
E01000117,Urban
E01000118,Urban
E01000119,Urban
E01000120,Urban
E01000121,Urban
E01000122,Urban
E01000123,Urban
E01000124,Urban
E01000125,Urban
E01000126,Urban
E01000127,Urban
E01000128,Urban
E01000129,Urban
E01000130,Urban
E01000131,Urban
E01000132,Urban
E01000133,Urban
E01000134,Urban
E01000135,Urban
E01000136,Urban
E01000137,Urban
E01000138,Urban
E01000139,Urban
E01000140,Urban
E01000141,Urban
