scenario,imd_decile,adm_base_total,adm_cf_total,adm_attr_frac_mean,death_attr_frac_mean,adm_avoided_abs,death_avoided_abs
CF1: decile 10 πₐ,1,11.525587773216396,6.245339827092996,44.682622588744,44.7227673393918,1471.1498347456034,218.15515026016791
CF1: decile 10 πₐ,2,10.691325094885137,6.059994285691098,41.17742697140037,41.334922852578096,1284.8189851016605,199.83938519902912
CF1: decile 10 πₐ,3,9.958406789496605,5.833484054249362,39.03593314681221,39.41363139668442,1124.5908809043326,183.22663003379148
CF1: decile 10 πₐ,4,9.398802818329784,5.590067283432983,38.49070385227552,39.27436758455063,946.6007733464145,165.1796328708628
CF1: decile 10 πₐ,5,8.734206312259913,5.273359148009921,38.04007042236471,39.17524268226632,816.0642207573569,151.31375977072287
CF1: decile 10 πₐ,6,7.85390568436545,4.900714874892498,36.30318806574496,37.55091916728185,690.4454776579593,132.22391947778863
CF1: decile 10 πₐ,7,6.307926833835244,3.895533308503003,37.1068864215686,38.217134781427646,597.7370064050024,115.95229051150523
CF1: decile 10 πₐ,8,5.076332827794826,3.377751023272071,32.39423380633277,33.154376325134095,450.1416958848582,87.03931098852097
CF1: decile 10 πₐ,9,4.347548215190116,3.387274084963379,21.261164427440505,21.720344254156693,262.8736067088277,51.00346671323313
CF1: decile 10 πₐ,10,4.315547336075266,4.315547336075266,0,0,0,0
CF2: decile 5 πₐ,1,11.525587773216396,8.583594365032512,27.561845217174717,27.5794242997117,844.9485071696982,121.52107596660497
CF2: decile 5 πₐ,2,10.691325094885137,8.564665809748966,20.377653248220003,20.431433853023673,605.4928107354376,91.5768639049176
CF2: decile 5 πₐ,3,9.958406789496605,8.508748548809073,14.36493687853128,14.46318579921136,401.45883487379393,63.67846733024954
CF2: decile 5 πₐ,4,9.398802818329784,8.6153119842133,8.16372999890002,8.29649213678592,195.63499752987008,33.19822117499148
CF2: decile 5 πₐ,5,8.734206312259913,8.734206312259913,0,0,0,0
CF2: decile 5 πₐ,6,7.85390568436545,8.721399960783495,0,0,-201.7431970466036,-38.040106646550434
CF2: decile 5 πₐ,7,6.307926833835244,8.223862436969542,0,0,-470.6136535027839,-91.74081195115566
CF2: decile 5 πₐ,8,5.076332827794826,7.865300886347119,0,0,-733.3705703108245,-143.7467544952543
CF2: decile 5 πₐ,9,4.347548215190116,7.952306080115703,0,0,-978.6690523738414,-192.87905735529083
CF2: decile 5 πₐ,10,4.315547336075266,8.93127464812049,0,0,-1397.6881267279496,-278.7541442230253
