imd_decile,adm_base_total,adm_closed_total,adm_pct_red_mean,death_pct_red_mean,adm_avoided_abs,death_avoided_abs,R0_baseline,R0_closed,R0_reduction,R0_pct_red
1,11.508002842169532,3.432268579838478,72.3,74,2300,387,1.403,1.109,0.294,21
2,10.665440334945792,2.2661394687957204,80.3,81.6,2464,428,1.333,1.088,0.246,18.4
3,9.910958081534368,1.670292847075491,84.4,85.4,2469,439,1.287,1.075,0.212,16.5
4,9.22830188444412,1.0574775388279378,89.4,90,2368,435,1.244,1.055,0.188,15.2
5,8.431483731887127,0.5182824800320867,94.3,94.5,2241,423,1.208,1.026,0.183,15.1
6,7.468455329915381,0.32651572293518466,96,96,2012,385,1.182,1.006,0.176,14.9
7,6.032292260651416,0.18733249667649218,97.1,97,1751,338,1.148,0.975,0.173,15
8,4.915035438356435,0.13552044353509524,97.3,97.2,1548,299,1.13,0.954,0.176,15.6
9,4.231220336740379,0.10442482817568272,97.5,97.4,1394,272,1.121,0.934,0.186,16.6
10,4.254506317012858,0.07750450332726702,98,97.9,1579,314,1.127,0.91,0.216,19.2
